期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沪金2512,au2512,2025-09-05 21:15,11459549.59,11459585.64,11459700.33,11459182.59,13868,11412814180.0,63.32,1401512.75,11458768.0,0.0
沪金2512,au2512,2025-09-05 21:30,11459565.98,11459408.69,11459654.45,11459366.09,5830,4799585340.0,0.0,0.0,-176.95,0.0
沪金2512,au2512,2025-09-05 21:45,11459402.14,11459559.42,11459585.64,11459284.17,4705,3871379080.0,0.0,0.0,150.73,0.0
沪金2512,au2512,2025-09-05 22:00,11459559.42,11459949.36,11459972.3,11459556.15,8067,6656414960.0,0.0,0.0,389.94,0.0
沪金2512,au2512,2025-09-05 22:15,11459949.36,11459883.83,11460044.39,11459837.95,4005,3308184860.0,0.0,0.0,-65.53,0.0
沪金2512,au2512,2025-09-05 22:30,11459883.83,11459290.73,11459975.58,11459228.47,8236,6786176580.0,0.01,-0.01,-593.1,0.0
沪金2512,au2512,2025-09-05 22:45,11459290.73,11459264.51,11459493.89,11459005.64,8624,7086389120.0,0.0,0.0,-26.22,0.0
沪金2512,au2512,2025-09-05 23:00,11459257.96,11459575.81,11459579.08,11459228.47,4023,3308755300.0,0.0,0.0,311.3,0.0
沪金2512,au2512,2025-09-05 23:15,11459572.53,11459369.37,11459661.0,11459333.32,3399,2798533400.0,0.0,0.0,-206.44,0.0
沪金2512,au2512,2025-09-05 23:30,11459366.09,11459513.55,11459539.76,11459244.85,2023,1664531680.0,0.0,0.0,144.18,0.0
沪金2512,au2512,2025-09-05 23:45,11459516.83,11459621.68,11459634.79,11459500.44,1367,1125944160.0,0.0,0.0,108.13,0.0
沪金2512,au2512,2025-09-06 00:00,11459621.68,11459592.19,11459693.77,11459592.19,1831,1508865320.0,0.0,0.0,-29.49,0.0
沪金2512,au2512,2025-09-06 00:15,11459595.47,11459723.26,11459769.14,11459559.42,1550,1277714680.0,0.0,0.0,131.07,0.0
沪金2512,au2512,2025-09-06 00:30,11459726.54,11459808.46,11459841.23,11459710.16,1374,1133446680.0,0.0,0.0,85.2,0.0
沪金2512,au2512,2025-09-06 00:45,11459818.29,11459713.43,11459837.95,11459608.58,1554,1281495700.0,0.0,0.0,-95.03,0.0
沪金2512,au2512,2025-09-06 01:00,11459700.33,11459752.76,11459801.91,11459690.5,1000,824767000.0,0.0,0.0,39.33,0.0
沪金2512,au2512,2025-09-06 01:15,11459762.59,11459687.22,11459778.97,11459575.81,1443,1189530840.0,0.0,0.0,-65.54,0.0
沪金2512,au2512,2025-09-06 01:30,11459680.67,11459815.01,11459834.68,11459677.39,800,659882640.0,0.0,0.0,127.79,0.0
沪金2512,au2512,2025-09-06 01:45,11459818.29,11459769.14,11459870.72,11459736.37,851,702154880.0,0.0,0.0,-45.87,0.0
沪金2512,au2512,2025-09-06 02:00,11459769.14,11459834.68,11459834.68,11459762.59,396,326722880.0,0.0,0.0,65.54,0.0
沪金2512,au2512,2025-09-06 02:15,11459834.68,11459729.82,11459854.34,11459729.82,439,362224900.0,0.0,0.0,-104.86,0.0
沪金2512,au2512,2025-09-06 02:30,11459733.09,11459765.86,11459785.52,11459693.77,554,456930140.0,0.0,0.0,36.04,0.0
沪金2512,au2512,2025-09-08 09:15,11459572.53,11459218.64,11459657.73,11458972.88,9773,8035068040.0,0.01,0.0,-547.22,0.0
沪金2512,au2512,2025-09-08 09:30,11459218.64,11459139.99,11459356.26,11459061.35,4043,3320970420.0,0.0,0.0,-78.65,0.0
沪金2512,au2512,2025-09-08 09:45,11459139.99,11459254.68,11459343.16,11459136.72,2511,2063430160.0,0.0,0.0,114.69,0.0
沪金2512,au2512,2025-09-08 10:00,11459254.68,11459402.14,11459434.91,11459162.93,2927,2406272560.0,0.0,0.0,147.46,0.0
