期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
螺纹钢2601,rb2601,2025-08-25 09:15,11624899,11624448,11624980,11624448,61322,1980599310,16.66,363846.41,11621254.0,0.0
螺纹钢2601,rb2601,2025-08-25 09:30,11624448,11624407,11624571,11624243,28554,920498110,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-25 09:45,11624366,11624120,11624448,11623956,27524,885265860,0.0,0.0,-287.0,0.0
螺纹钢2601,rb2601,2025-08-25 10:00,11624120,11623956,11624243,11623793,30298,973408730,0.0,0.0,-164.0,0.0
螺纹钢2601,rb2601,2025-08-25 10:15,11623916,11624284,11624284,11623916,17184,552370500,0.0,0.0,328.0,0.0
螺纹钢2601,rb2601,2025-08-25 10:45,11624325,11624817,11625021,11624325,56407,1823031880,0.01,0.0,533.0,0.0
螺纹钢2601,rb2601,2025-08-25 11:00,11624817,11625021,11625185,11624694,29725,962241650,0.0,0.0,204.0,0.0
螺纹钢2601,rb2601,2025-08-25 11:15,11624980,11624817,11625062,11624612,22029,712066360,0.0,0.0,-204.0,0.0
螺纹钢2601,rb2601,2025-08-25 11:30,11624817,11624653,11624817,11624325,26941,868944700,0.0,0.0,-164.0,0.0
螺纹钢2601,rb2601,2025-08-25 13:45,11624653,11624448,11624653,11624284,20172,650218220,0.0,0.0,-205.0,0.0
螺纹钢2601,rb2601,2025-08-25 14:00,11624407,11624489,11624653,11624407,14656,472747490,0.0,0.0,41.0,0.0
螺纹钢2601,rb2601,2025-08-25 14:15,11624489,11624489,11624530,11624366,9723,313505330,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-25 14:30,11624448,11624694,11624735,11624448,14082,454509100,0.0,0.0,205.0,0.0
螺纹钢2601,rb2601,2025-08-25 14:45,11624735,11624735,11624735,11624530,13195,426045790,0.0,0.0,41.0,0.0
螺纹钢2601,rb2601,2025-08-25 15:00,11624735,11624448,11624776,11624366,22042,711069500,0.0,0.0,-287.0,0.0
螺纹钢2601,rb2601,2025-08-25 21:15,11624325,11624407,11624694,11624325,46613,1503154090,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-25 21:30,11624407,11624366,11624489,11624366,12910,416143420,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-25 21:45,11624366,11624407,11624530,11624325,9214,297001560,0.0,0.0,41.0,0.0
螺纹钢2601,rb2601,2025-08-25 22:00,11624448,11624366,11624489,11624284,12893,415432370,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-25 22:15,11624325,11624284,11624366,11624202,11870,382217050,0.0,0.0,-82.0,0.0
螺纹钢2601,rb2601,2025-08-25 22:30,11624325,11624284,11624366,11624243,6773,218122680,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-25 22:45,11624243,11624120,11624325,11624120,9069,291860110,0.0,0.0,-164.0,0.0
螺纹钢2601,rb2601,2025-08-25 23:00,11624120,11623997,11624202,11623956,14239,457849850,0.0,0.0,-123.0,0.0
螺纹钢2601,rb2601,2025-08-26 09:15,11623997,11623997,11624038,11623670,44602,1431506200,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-26 09:30,11623997,11623916,11624120,11623793,18191,584174820,0.0,0.0,-81.0,0.0
螺纹钢2601,rb2601,2025-08-26 09:45,11623916,11623916,11623956,11623793,11436,367085880,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-26 10:00,11623916,11623916,11624038,11623793,12171,390875270,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-26 10:15,11623956,11624079,11624079,11623834,14952,480205410,0.0,0.0,163.0,0.0
螺纹钢2601,rb2601,2025-08-26 10:45,11624038,11623875,11624120,11623834,13368,429432970,0.0,0.0,-204.0,0.0
螺纹钢2601,rb2601,2025-08-26 11:00,11623834,11623629,11623956,11623547,25098,804928130,0.0,0.0,-246.0,0.0
螺纹钢2601,rb2601,2025-08-26 11:15,11623670,11623670,11623711,11623465,30937,990782020,0.0,0.0,41.0,0.0
螺纹钢2601,rb2601,2025-08-26 11:30,11623711,11623670,11623875,11623629,22278,714605040,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-26 13:45,11623670,11623219,11623670,11623137,49272,1574984650,0.0,0.0,-451.0,0.0
螺纹钢2601,rb2601,2025-08-26 14:00,11623219,11623424,11623465,11623137,21065,673205290,0.0,0.0,205.0,0.0
螺纹钢2601,rb2601,2025-08-26 14:15,11623383,11623342,11623588,11623301,19443,622095630,0.0,0.0,-82.0,0.0
螺纹钢2601,rb2601,2025-08-26 14:30,11623301,11623014,11623424,11623014,34587,1104407980,0.0,0.0,-328.0,0.0
螺纹钢2601,rb2601,2025-08-26 14:45,11623055,11622932,11623219,11622892,33927,1082153100,0.0,0.0,-82.0,0.0
螺纹钢2601,rb2601,2025-08-26 15:00,11622932,11622851,11623096,11622810,35972,1146616520,0.0,0.0,-81.0,0.0
螺纹钢2601,rb2601,2025-08-26 21:15,11622728,11622932,11623014,11622605,59873,1906336660,0.0,0.0,81.0,0.0
螺纹钢2601,rb2601,2025-08-26 21:30,11622973,11622851,11622973,11622646,29367,935028190,0.0,0.0,-81.0,0.0
螺纹钢2601,rb2601,2025-08-26 21:45,11622851,11622769,11622851,11622646,12738,405383380,0.0,0.0,-82.0,0.0
螺纹钢2601,rb2601,2025-08-26 22:00,11622728,11622810,11622892,11622564,18644,593141640,0.0,0.0,41.0,0.0
螺纹钢2601,rb2601,2025-08-26 22:15,11622810,11623137,11623219,11622769,30283,966332340,0.0,0.0,327.0,0.0
螺纹钢2601,rb2601,2025-08-26 22:30,11623137,11623096,11623260,11623055,10891,347731000,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-26 22:45,11623137,11622851,11623137,11622810,11858,377945120,0.0,0.0,-245.0,0.0
螺纹钢2601,rb2601,2025-08-26 23:00,11622851,11622973,11622973,11622851,7767,247489640,0.0,0.0,122.0,0.0
螺纹钢2601,rb2601,2025-08-27 09:15,11623014,11622932,11623178,11622932,13707,437217110,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-27 09:30,11622932,11622892,11623096,11622851,13994,446123490,0.0,0.0,-40.0,0.0
螺纹钢2601,rb2601,2025-08-27 09:45,11622851,11622851,11622932,11622769,9366,298302790,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-27 10:00,11622851,11622277,11622851,11622195,44942,1427272360,0.01,0.0,-574.0,0.0
螺纹钢2601,rb2601,2025-08-27 10:15,11622318,11622482,11622687,11622236,28677,910984070,0.0,0.0,205.0,0.0
螺纹钢2601,rb2601,2025-08-27 10:45,11622482,11622400,11622482,11622277,22345,709190050,0.0,0.0,-82.0,0.0
螺纹钢2601,rb2601,2025-08-27 11:00,11622400,11622482,11622523,11622113,35562,1127959050,0.0,0.0,82.0,0.0
螺纹钢2601,rb2601,2025-08-27 11:15,11622482,11623178,11623260,11622441,51472,1639371370,0.01,0.01,696.0,0.0
螺纹钢2601,rb2601,2025-08-27 11:30,11623219,11622851,11623219,11622728,51906,1653966370,0.0,0.0,-327.0,0.0
螺纹钢2601,rb2601,2025-08-27 13:45,11622851,11622482,11622851,11622400,38355,1218962980,0.0,0.0,-369.0,0.0
螺纹钢2601,rb2601,2025-08-27 14:00,11622441,11622441,11622605,11622277,25088,796538290,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-27 14:15,11622441,11622605,11622728,11622441,23672,752409900,0.0,0.0,164.0,0.0
螺纹钢2601,rb2601,2025-08-27 14:30,11622605,11622359,11622687,11622277,20150,639948130,0.0,0.0,-246.0,0.0
螺纹钢2601,rb2601,2025-08-27 14:45,11622359,11622359,11622851,11622277,36132,1148135560,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-27 15:00,11622359,11622318,11622359,11622072,35182,1115360620,0.0,0.0,-41.0,0.0
螺纹钢2601,rb2601,2025-08-27 21:15,11622318,11621949,11622441,11621827,60125,1903110330,0.01,0.0,-369.0,0.0
螺纹钢2601,rb2601,2025-08-27 21:30,11621949,11621949,11622154,11621908,21116,668218090,0.0,0.0,0.0,0.0
螺纹钢2601,rb2601,2025-08-27 21:45,11621908,11621990,11622072,11621908,18116,573203940,0.0,0.0,41.0,0.0
