期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
欧线集运2602,ec2602,2025-08-08 09:15,11532042.2,11532861.4,11532927.0,11531370.5,81,6109000.0,103.3,765287.69,11531355.0,0.0
欧线集运2602,ec2602,2025-08-08 09:30,11533000.7,11532492.8,11533434.9,11532492.8,77,5851820.0,0.01,0.0,-368.6,0.0
欧线集运2602,ec2602,2025-08-08 09:45,11532492.8,11532353.5,11532558.3,11531993.1,23,1735845.0,0.0,0.0,-139.3,0.0
欧线集运2602,ec2602,2025-08-08 10:00,11532353.5,11531935.7,11532353.5,11531706.4,23,1733320.0,0.01,0.0,-417.8,0.0
欧线集运2602,ec2602,2025-08-08 10:15,11532132.4,11532124.2,11532533.8,11532124.2,17,1283900.0,0.0,0.0,188.5,0.0
欧线集运2602,ec2602,2025-08-08 10:45,11532509.2,11533991.9,11534622.7,11532443.7,124,9464915.0,0.02,0.02,1867.7,0.0
欧线集运2602,ec2602,2025-08-08 11:00,11534000.1,11533656.1,11534491.7,11533647.9,92,7047225.0,0.01,0.0,-335.8,0.0
欧线集运2602,ec2602,2025-08-08 11:15,11533656.1,11533361.2,11534008.3,11533361.2,47,3590890.0,0.01,0.0,-294.9,0.0
欧线集运2602,ec2602,2025-08-08 11:30,11533361.2,11533115.4,11533385.7,11533107.2,35,2663900.0,0.0,0.0,-245.8,0.0
欧线集运2602,ec2602,2025-08-08 13:45,11533107.2,11533475.8,11534090.2,11533107.2,26,1984130.0,0.01,0.0,360.4,0.0
欧线集运2602,ec2602,2025-08-08 14:00,11533656.1,11533869.1,11534213.1,11533656.1,32,2450645.0,0.0,0.0,393.3,0.0
欧线集运2602,ec2602,2025-08-08 14:15,11533869.1,11533959.2,11535319.0,11533803.5,173,13312025.0,0.01,0.0,90.1,0.0
欧线集运2602,ec2602,2025-08-08 14:30,11534082.1,11535048.7,11535884.3,11534082.1,195,15075925.0,0.02,0.01,1089.5,0.0
欧线集运2602,ec2602,2025-08-08 14:45,11535048.7,11534827.5,11535048.7,11534573.6,36,2773500.0,0.0,0.0,-221.2,0.0
欧线集运2602,ec2602,2025-08-08 15:00,11534827.5,11533877.3,11534827.5,11533025.3,124,9482710.0,0.02,-0.01,-950.2,0.0
欧线集运2602,ec2602,2025-08-11 09:15,11533434.9,11536187.4,11536277.5,11533434.9,243,18815455.0,0.02,0.02,2310.1,0.0
欧线集运2602,ec2602,2025-08-11 09:30,11536212.0,11535245.3,11536957.4,11535163.4,262,20412310.0,0.02,-0.01,-942.1,0.0
欧线集运2602,ec2602,2025-08-11 09:45,11535458.3,11534491.7,11536236.5,11534049.3,133,10240400.0,0.02,-0.01,-753.6,0.0
欧线集运2602,ec2602,2025-08-11 10:00,11534483.5,11534958.6,11534983.2,11534336.0,61,4696630.0,0.01,0.0,466.9,0.0
