date,code,open,high,low,close,volume,amount,pctChg
2012-05-25,sh.000300,2572.3690,2635.7800,2563.9730,2573.1030,20721222000,237740743757.0000,-0.033916
2012-06-01,sh.000300,2562.5960,2658.2550,2545.3360,2632.9980,26862887300,297788568717.0000,2.327734
2012-06-08,sh.000300,2598.7330,2608.3160,2520.4090,2524.3290,20281371800,235176787584.0000,-4.127196
2012-06-15,sh.000300,2529.5990,2584.7090,2523.7740,2568.0540,20608351600,230200963915.0000,1.732143
2012-06-21,sh.000300,2576.6290,2593.2180,2502.4190,2512.1850,13364155200,150054120255.0000,-2.175538
2012-06-29,sh.000300,2501.1630,2501.1630,2417.4860,2461.6120,17038635000,183232947898.0000,-2.013108
2012-07-06,sh.000300,2473.5450,2490.5470,2420.0010,2472.6140,19799232400,221041773614.0000,0.446943
2012-07-13,sh.000300,2455.8920,2470.2050,2402.1540,2450.6330,21584054500,240143768066.0000,-0.888978
2012-07-20,sh.000300,2452.5950,2452.5950,2373.6470,2398.4550,20251679300,212843479186.0000,-2.129164
2012-07-27,sh.000300,2379.8850,2392.3530,2341.2930,2349.1080,15000156800,154433209646.0000,-2.057449
2012-08-03,sh.000300,2350.7820,2371.1220,2325.6080,2353.7370,15529136600,153240183073.0000,0.197054
2012-08-10,sh.000300,2350.1170,2413.4230,2348.1190,2399.7510,18827855100,209386579416.0000,1.954934
2012-08-17,sh.000300,2394.5040,2394.5040,2295.1580,2313.4760,16718241000,174692888899.0000,-3.595165
2012-08-24,sh.000300,2294.9010,2327.3750,2274.5660,2275.6770,15721047800,160256145861.0000,-1.633862
2012-08-31,sh.000300,2268.4850,2268.4850,2188.7240,2204.8680,16162675000,150319516199.0000,-3.111558
2012-09-07,sh.000300,2201.1230,2341.5220,2186.9620,2317.1790,23437875244,210140113873.0000,5.093774
2012-09-14,sh.000300,2320.5570,2337.1960,2294.8200,2315.5420,26483545400,246589590237.0000,-0.070646
2012-09-21,sh.000300,2312.0550,2314.9890,2186.5300,2199.0630,19722950800,178960902342.0000,-5.030313
2012-09-28,sh.000300,2183.9690,2297.0330,2172.8790,2293.1060,20372605600,187846785774.0000,4.276503
2012-10-12,sh.000300,2291.9610,2332.1490,2258.1100,2304.5310,20894434900,189498900066.0000,0.498233
2012-10-19,sh.000300,2306.0060,2342.5270,2278.4570,2332.4700,18060366600,170768385259.0000,1.212351
2012-10-26,sh.000300,2320.4680,2347.8950,2237.0590,2247.9070,19438405300,164638123591.0000,-3.625470
2012-11-02,sh.000300,2241.8020,2309.6660,2227.6460,2306.7740,18942926200,165975653471.0000,2.618747
2012-11-09,sh.000300,2302.7420,2318.2310,2235.2310,2240.9240,17779184500,153201126860.0000,-2.854636
2012-11-16,sh.000300,2242.9600,2254.7030,2162.9760,2177.2400,15413111600,131348538748.0000,-2.841863
2012-11-23,sh.000300,2175.1840,2202.4700,2149.5380,2192.6760,13301590800,124702150892.0000,0.708971
2012-11-30,sh.000300,2187.2400,2191.3590,2109.9630,2139.6610,15277631700,125372877525.0000,-2.417822
2012-12-07,sh.000300,2136.6960,2250.5290,2102.1350,2246.7570,28364421700,242770110435.0000,5.005279
2012-12-14,sh.000300,2254.9150,2357.1060,2242.5570,2355.8650,32268529400,276270718143.0000,4.856244
2012-12-21,sh.000300,2359.2010,2414.2230,2346.5500,2372.0020,37753519400,354860806006.0000,0.684971
2012-12-28,sh.000300,2368.0070,2481.5920,2365.4100,2480.0490,36060257000,347786445730.0000,4.555097
2013-01-04,sh.000300,2485.5590,2558.5290,2485.5590,2524.4090,17999047500,176728324567.0000,1.788674
2013-01-11,sh.000300,2518.0470,2553.3520,2473.6960,2483.2300,36256130100,367834138722.0000,-1.631233
2013-01-18,sh.000300,2474.1760,2607.4460,2473.9980,2595.4390,43356652200,442926709741.0000,4.518671
2013-01-25,sh.000300,2605.6490,2663.4040,2564.2060,2571.6740,43540399200,430604583159.0000,-0.915645
2013-02-01,sh.000300,2577.2670,2744.3220,2577.2670,2743.3240,49280962500,512894692603.0000,6.674641
2013-02-08,sh.000300,2753.6880,2791.3030,2722.8740,2771.7250,49425705500,516692566917.0000,1.035277
2013-02-22,sh.000300,2784.0650,2787.7400,2584.7580,2596.6040,38794687100,406617134680.0000,-6.318123
2013-03-01,sh.000300,2607.1490,2680.8540,2564.6720,2668.8360,35665809800,376178853048.0000,2.781787
2013-03-08,sh.000300,2619.4200,2658.9690,2528.6940,2606.9270,44962213000,459543757221.0000,-2.319700
2013-03-15,sh.000300,2600.2780,2619.5120,2504.4580,2539.8730,30828997800,312819404872.0000,-2.572147
2013-03-22,sh.000300,2526.0770,2626.5380,2491.8540,2618.3080,33024977300,337490398866.0000,3.088147
2013-03-29,sh.000300,2628.4070,2641.6090,2482.4880,2495.0830,31711142200,318745188386.0000,-4.706284
2013-04-03,sh.000300,2486.4280,2524.4630,2474.9270,2483.5470,14859439500,147953931715.0000,-0.462349
2013-04-12,sh.000300,2443.2400,2508.5930,2429.5000,2462.1120,23609874500,245628151133.0000,-0.863080
2013-04-19,sh.000300,2453.9670,2542.4530,2416.6170,2533.8270,26489409400,267662742812.0000,2.912743
